title,url,description
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
 Masterchef 2008 champion James Nathan's pea and white truffle soup with Parmesan galettes,https://www.dailymail.co.uk/femail/food/article-6206323/Masterful-meals-Pea-white-truffle-soup-Parmesan-galettes.html,"Roast pheasant, chocolate roulade and this sublime soup... a new book features spectacular dishes from a decade of MasterChef champions"
"How to dress like a grown up with Shane Watson: No, you're NEVER too old for sexy knee-highs",https://www.dailymail.co.uk/femail/article-13071581/How-dress-like-grown-Shane-Watson-No-youre-Never-old-sexy-knee-highs.html,"You're never too old for boots, and that's quite something given that they're probably up there with the first fashion items you ever truly lusted after."
"Sun-blushed tomato chicken Kiev
This variation on the usual chicken Kiev has a delicious tomato filling. It is decadent but well worth trying. Serve with a green salad.",https://www.dailymail.co.uk/femail/article-6180515/Rustle-Rosemary-Sun-blushed-tomato-chicken-Kiev.html,"In her new book, chef Rosemary Shrager guides you through tried and tested recipes that she vows will turn you into a better cook"
"French apple rose tart
Apples and pears as you've never eaten them before",https://www.dailymail.co.uk/femail/food/article-6131061/Core-blimey-French-apple-rose-tart.html,"Apples and pears as you’ve never eaten them before, in a savoury tray bake, a stunning squash soup and this spectacular – and simple – tart"
